60	288.588
180	394.623
300	509.049
420	591.209
540	665.283
660	701.443
780	757.698
900	806.543
1020	831.862
1260	918.198
1500	963.759
1740	1002.868
1980	1032.59
2220	1062.164
2460	1104.929
2700	1121.098
2940	1145.637
3180	1125.382
3420	1202.062
3660	1210.473
3900	1223.364
4140	1270.186
4380	1269.985
4620	1292.248
4860	1311.923
5100	1362.189
5340	1369.958
5580	1341.275
5820	1381.568
6060	1454.761
6300	1407.451
6540	1410.269
6780	1467.247
7020	1435.967
7260	1446.525
7500	1438.828
7740	1477.634
7980	1458.58
8220	1443.126
8460	1475.415
8700	1484.276
8940	1481.454
